,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
453,1/5/2020 17:30,13.03333333,15.50666667,9.233333333,66.13333333,11.68,193.2666667,2.907
454,1/5/2020 17:45,13.38666667,15.6,9.3,66.0,10.6,197.9333333,2.43
455,1/5/2020 18:00,12.87333333,15.52666667,9.213333333,65.93333333,12.76,187.6666667,2.984
456,1/5/2020 18:15,12.64666667,15.48666667,9.093333333,65.53333333,13.48,192.3333333,2.93
457,1/5/2020 18:30,12.88,15.40666667,8.986666667,65.4,12.28,195.1333333,1.71
458,1/5/2020 18:45,12.14666667,15.30666667,8.806666667,65.0,14.7,201.1333333,1.114
459,1/5/2020 19:00,12.22,15.24,8.64,64.66666667,13.76,200.9333333,0.653
460,1/5/2020 19:15,12.29333333,15.10666667,8.193333333,63.4,12.28,201.0666667,0.706
461,1/5/2020 19:30,12.63333333,15.00666667,7.986666667,62.86666667,9.733333333,190.6666667,0.391
462,1/5/2020 19:45,11.95333333,14.88,7.966666667,63.26666667,12.54,195.8666667,0.423
507,1/6/2020 7:00,11.26,11.8,11.98666667,100.0,5.626666667,200.0666667,0.182
508,1/6/2020 7:15,11.94666667,11.83333333,12.03333333,100.0,2.426666667,210.2,0.318
509,1/6/2020 7:30,11.91333333,11.88666667,12.07333333,100.0,2.573333333,226.5333333,0.385
510,1/6/2020 7:45,12.2,11.96,12.16,100.0,1.826666667,240.4666667,0.497
511,1/6/2020 8:00,12.69333333,12.06,12.24666667,100.0,0.12,240.0,0.54
512,1/6/2020 8:15,12.26666667,12.01333333,12.21333333,100.0,1.92,240.0,0.979
513,1/6/2020 8:30,12.58,12.12,12.30666667,100.0,0.96,240.0,0.914
514,1/6/2020 8:45,12.95333333,12.25333333,12.45333333,100.0,0.0,240.0,1.119
515,1/6/2020 9:00,12.93333333,12.23333333,12.42,100.0,0.0,240.0,1.072
516,1/6/2020 9:15,12.94666667,12.24666667,12.26,100.0,0.0,240.0,0.911
517,1/6/2020 9:30,13.1,12.38666667,12.38666667,100.0,0.0,240.1333333,0.914
518,1/6/2020 9:45,12.6,12.53333333,12.53333333,100.0,3.68,269.2666667,1.363
